time,target_pitch,target_yaw
0.000,0.019746,-0.158655
0.200,0.022085,-0.148238
0.400,0.024428,-0.137788
0.600,0.026775,-0.127308
0.800,0.029125,-0.116799
1.000,0.031478,-0.106265
1.200,0.033831,-0.095707
1.400,0.036186,-0.085127
1.600,0.038540,-0.074528
1.800,0.040893,-0.063913
2.000,0.043245,-0.053283
2.200,0.045594,-0.042641
2.400,0.047939,-0.031989
2.600,0.050279,-0.021330
2.800,0.052615,-0.010666
3.000,0.054945,0.000000
3.200,0.057267,0.010666
3.400,0.059582,0.021330
3.600,0.061889,0.031989
3.800,0.064187,0.042641
4.000,0.066474,0.053283
4.200,0.068751,0.063913
4.400,0.071016,0.074528
4.600,0.073269,0.085127
4.800,0.075508,0.095707
5.000,0.077735,0.106265
5.200,0.079946,0.116799
5.400,0.082143,0.127308
5.600,0.084324,0.137788
5.800,0.086489,0.148238
6.000,0.088637,0.158655
