time,target_pitch,target_yaw
0.000,0.058767,0.197396
0.200,0.058913,0.184543
0.400,0.059050,0.171628
0.600,0.059177,0.158655
0.800,0.059295,0.145628
1.000,0.059404,0.132552
1.200,0.059502,0.119429
1.400,0.059591,0.106265
1.600,0.059669,0.093064
1.800,0.059738,0.079830
2.000,0.059796,0.066568
2.200,0.059843,0.053283
2.400,0.059880,0.039979
2.600,0.059907,0.026660
2.800,0.059923,0.013333
3.000,0.059928,0.000000
3.200,0.059923,-0.013333
3.400,0.059907,-0.026660
3.600,0.059880,-0.039979
3.800,0.059843,-0.053283
4.000,0.059796,-0.066568
4.200,0.059738,-0.079830
4.400,0.059669,-0.093064
4.600,0.059591,-0.106265
4.800,0.059502,-0.119429
5.000,0.059404,-0.132552
5.200,0.059295,-0.145628
5.400,0.059177,-0.158655
5.600,0.059050,-0.171628
5.800,0.058913,-0.184543
6.000,0.058767,-0.197396
